IFR_mean,fatalities_date,end_date,source,country,location_label,longitude,assay_name,latitude,link_two,link_one,study_info,global_region,assay_id,location_id,start_date,mean
0.15065311,8/30/2020,8/8/2020,SeroTracker,Brazil,Maranhao,-44.821484,Elecsys Anti-SARS-CoV-2,-4.1353235,https://www.medrxiv.org/content/10.1101/2020.08.28.20180463v1,https://scielosp.org/article/rsp/2020.v54/131/,Age-Specific IFR,Latin America,2,5,7/27/2020,38.0824148
0.076957779,8/5/2020,7/28/2020,SeroTracker,India,Chennai,80.220879,Abbott IgG Test,13.053028,https://academic.oup.com/trstmh/advance-article/doi/10.1093/trstmh/trab136/6370308,https://wwwnc.cdc.gov/eid/article/27/2/20-3938_article,Age-Specific IFR,South Asia ,119,19,7/17/2020,26.2628076
0.151623068,12/10/2020,11/23/2020,SeroTracker,Kenya,Nairobi County,36.862778,Wantai IgG/IgM ELISA,-1.275424,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3844795,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8411609/,Age-Specific IFR,Africa,17,36,11/2/2020,31.1439224
0.713604593,10/13/2020,10/18/2020,SeroTracker,Argentina,Buenos Aires City,-58.444435,COVIDAR,-34.61768,https://www.medrxiv.org/content/10.1101/2020.07.14.20153858v2,https://www.medicinabuenosaires.com/revistas/vol81-21/destacado/original_7453.pdf,Age-Specific IFR,Latin America,15,38,9/10/2020,11.3602581
0.828924067,12/17/2020,12/10/2020,SeroTracker,Argentina,Municipality of Hurlingham,-58.018799,SEROKIT-ELISA COVIDAR IgG,-35.004047,http://www.unahur.edu.ar/es/la-unahur-comienza-analizar-los-resultados-del-estudio-sobre-seroprevalencia-de-covid-19-en-el-0,http://www.unahur.edu.ar/es/se-presentaron-los-resultados-del-estudio-de-seroprevalencia-de-covid-19-que-realizo-la-universidad,Age-Specific IFR,Latin America,15,40,11/26/2020,14.9274205
0.628207433,10/4/2020,9/25/2020,Google,Colombia,Leticia,-70.028114,SARS-CoV-2 Total Advia Centaur - Siemens,-3.6675119,http://www.ins.gov.co/BibliotecaDigital/Informe-seroprevalencia-SARS-CoV-2-durante-la-epidemia-en-Colombia.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3890833,Age-Specific IFR,Latin America,14,44,9/15/2020,51.1284128
0.230159466,10/9/2020,9/30/2020,Google,Colombia,Barranquilla,-74.66375,SARS-CoV-2 Total Advia Centaur - Siemens,10.891976,http://www.ins.gov.co/BibliotecaDigital/Informe-seroprevalencia-SARS-CoV-2-durante-la-epidemia-en-Colombia.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3890833,Age-Specific IFR,Latin America,14,45,9/20/2020,48.6522429
0.26886909,11/26/2020,12/20/2020,Google,Colombia,Medellin,-75.636452,SARS-CoV-2 Total Advia Centaur - Siemens,6.2651858,http://www.ins.gov.co/BibliotecaDigital/Informe-seroprevalencia-SARS-CoV-2-durante-la-epidemia-en-Colombia.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3890833,Age-Specific IFR,Latin America,14,46,10/5/2020,24.0417635
0.308265373,10/17/2020,10/9/2020,Google,Colombia,Bucaramanga,-73.13279,SARS-CoV-2 Total Advia Centaur - Siemens,7.1371593,http://www.ins.gov.co/BibliotecaDigital/Informe-seroprevalencia-SARS-CoV-2-durante-la-epidemia-en-Colombia.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3890833,Age-Specific IFR,Latin America,14,48,9/27/2020,28.2543441
0.247121918,10/24/2020,10/15/2020,Google,Colombia,Cucuta,-72.505173,SARS-CoV-2 Total Advia Centaur - Siemens,8.0841331,http://www.ins.gov.co/BibliotecaDigital/Informe-seroprevalencia-SARS-CoV-2-durante-la-epidemia-en-Colombia.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3890833,Age-Specific IFR,Latin America,14,49,10/5/2020,35.4746722
0.248148531,11/8/2020,10/30/2020,Google,Colombia,Villavicencio,-73.491501,SARS-CoV-2 Total Advia Centaur - Siemens,4.0742364,http://www.ins.gov.co/BibliotecaDigital/Informe-seroprevalencia-SARS-CoV-2-durante-la-epidemia-en-Colombia.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3890833,Age-Specific IFR,Latin America,14,50,10/20/2020,29.8918167
0.330705826,11/6/2020,11/5/2020,Google,Colombia,Bogota,-74.214455,SARS-CoV-2 Total Advia Centaur - Siemens,4.288579,http://www.ins.gov.co/BibliotecaDigital/Informe-seroprevalencia-SARS-CoV-2-durante-la-epidemia-en-Colombia.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3890833,Age-Specific IFR,Latin America,14,51,10/10/2020,26.4952555
0.291516143,12/7/2020,11/28/2020,Google,Colombia,Cali,-76.599579,SARS-CoV-2 Total Advia Centaur - Siemens,3.3998175,http://www.ins.gov.co/BibliotecaDigital/Informe-seroprevalencia-SARS-CoV-2-durante-la-epidemia-en-Colombia.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3890833,Age-Specific IFR,Latin America,14,52,11/18/2020,26.5388166
